sarcasm,question,rq,sentiment,len,dot,is_question,triple_result,rov,score,context_2,context_1,response,robot_res,sg_res,rq_res
0,0,0,neu,10,0,0,1,o,-1.0,We don ’ t know who you are either .,"Well , thank god for that . No need to worry .",We ’ re beyond worries here . The state pushing experiments with uneducated Muslims against the hard working people paying the bill .,"He nods and smiles, then goes back to his food.","He nods and smiles, then goes back to his food. A green banana is not ripe enough to eat.","He nods and smiles , then goes back to his food. Are smiles just upside-down frowns ?"
0,0,0,neu,10,0,0,1,o,-1.0,Dr . Drew who apparently didn ’ t even know he lived in Adam Schiff ’ s district for 20 years says he is considering a run against Adam Schiff <URL>,You lived in there 20 years nd you didn ’ t know Nything bout your district . YOU ARE A MORON Dr . Drew . Is it because you are losing your audience and lots of money and you are not popular anymore ? <URL>,Go and talk to Melania and see if you can fix her bs campaign . :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: You are so full of it .,he's had some good points the last few days...,He's had some good points the last few days... Who's never got any money.,he is had some good points the last few days ... Will making points write ?
1,0,0,neu,11,1,0,0,o,-1.0,' This could work ... ' - ＠ jenniebond 1 believes Prince Harry and Meghan Markle could successfully modernise how members of the monarchy work by controlling their own publicity on social media . Do you agree ? #Lorraine <URL>,I thought it was less publicity they wanted not more !,"They want to be paid for it , they can see the money they'll make to secure their independence :face_with_tears_of_joy:",Yes. Yes they do. And they deserve to have that right.,"Yes. yes they don't do. and they deserve to have that right. Justice is blind and will prosecute without any discrimination, either chinese, formosan, or american, because all are equal before the law.",Yes they do . And they deserve to have that right. Is it that I nod and say yes and will agree with someone ?
1,1,0,neu,9,0,0,0,v,0.2721064232483762,if y ’ all like Regal Eagle Smokehouse y ’ all are gonna love the shit out of this new hole in the wall joint called Trails End,If y ’ all love Regal Eagle peep this crazy place called 4Rivers .,rigth ? ? Go taste & we talk ... dont eat the Mac & cheese please .. :face_with_tears_of_joy: <URL>,Dude I wish my trails end was 4 rivers.,Dude i don't wish my trails end was 4 rivers. The city secured itself against flood.,What I begrudge my trails ended with 4 rivers ?
0,0,0,neu,10,0,0,1,v,0.2323313109811617,All I ’ m saying is there should be a remake of Grumpy Old Men with me and Boyd <URL>,"If you wouldn't mind and if you think it could help , would you RT my today's tweet on animal adoption please ? I believe you have a rather large following . If you will , then I'll share it with you once again . Let me know please","If any of you in Chennai / Bangalore / Ooty would like to ADOPT a dog or cat , let me know please . I shall enable that for you . Today is a good day to change an animal's life :heart_suit: :heart_suit: :heart_suit: #adopt #adoptdontshop #adoptdontbuy <URL>",I think it can get me a few more upvotes.,I don't think it can get me a few more upvotes. The resolution was affirmed by a unanimous vote.,Who can get me a few more updates ?
0,0,0,neg,8,0,0,0,v,0.7952602187946063,Girl Beats The Sh*t Out Of Chick For Talking About Her Son Then Starts Shooting At Her Car As She Pulls Off!,And that's how you goto jail for attempted murder,And ensure you have the evidence to prove it,I think you mean the same thing actually.,I don't think you mean the same thing actually. All right. I understand.,Who actually means the same thing ?
0,0,0,pos,8,1,0,0,v,0.7630789439553162,Let all that you do be done in #ThinkBIGSundayWithMarsha #InspireThemRetweetTuesday <URL>,"All is done in love , and so it shall be . Thank you God for your creation of All ! Amen . <URL>",It ’ s not how much we have but how much we enjoy that makes #happiness #ThinkBIGSundayWithMarsha #InspireThemRetweetTuesday <URL>,My pleasure. All hail the all powerful God!!,My pleasure. all don't hail the all powerful god!! But I didn't have any joy.,What ! ! ?
0,0,0,neu,9,1,0,1,o,-1.0,America First ! Lots of sitting Democrats for this one ...,"Its Been Obvious they hate OUR GREAT PRESIDENT #TrumpDerangementSyndrome but the #Socialist & #MainstreamMedia that "" WORK FOR DEMS "" have let their mask fall & SHOWED THEIR TRUE HATRED FOR . These Disquesting Human Beings r now Sitting proving it ! <URL>","How Can #DemocraticParty NOT BE for #wearethepeople . It's not just great news for it's Great news for , we need to Stop this hatred & Work together w / to help The people that elected U 2 Help Them ! ! <URL>",Don't you dare to have a discussion. s,Do you dare to have a discussion. s We agreed without much further argument.,Do not you dare to have a discussion . s. Does the purpose of the discussion is to extract ideas from the audience ?
0,1,1,neu,8,0,1,0,o,-1.0,Crazy how Sheffield Wednesday can even consider buying when they a riddled . Shocking when you think #lufc are terrified to spend yet are no where near as deep as they are .,It ’ s Wednesday and still rattled . Love it :OK_hand: :medium_skin_tone:,:face_with_tears_of_joy: Come on pal . Did you your promotion celebrations after the game ? #desperate #massivetinpot,What does it denote? I'm lost :p,What does it denote? i'm found :p I am on the margin of death.,What does it denote ? I am lost : p. Is it a sharpen hint to give a clue ?
1,1,0,neu,11,0,1,0,o,-1.0,"Irony : Calling out "" celeb obsessed "" Chrissy Teigen followers in the process of sending 5000 tweets to Chrissy Teigen","5,000 tweets eh . When did you learn to count ?","why do you accuse people of being "" celeb obsessed "" then tag unrelated celebrities in your posts ?",What do you mean you don't count your followers? s,What do you mean you do count your followers? s Time will never change and stop for any number of person.,What do you mean you do not count your followers ? s. Are Muhammad and his followers persecuted ?
0,0,0,neu,7,0,0,1,o,-1.0,"Did you know that as climate change disrupts existing wind patterns , we are likely to have worse and harsher winters as the cold Arctic air is no longer held back by those same wind patterns ? I know the difference between climate and weather is challenging for you , but still .","So ... to hedge against climate change we should pay carbon tax to the government , so they can give that same money back to tax payers :person_shrugging: ‍ :male_sign:  . I guess that will normalize those wind patterns and will likely prevent catastrophic fires etc ? ? <URL>",more like : appropriate taxation can help steer consumers spending habits directing them to less environmentally disruptive behaviours and consumer choices . Ppl are driven by price more than moral and principle .,That's like a reverse climate change,That's like a reverse climate change Nuclear winter - semi-polished basmati rice?,That is like a reverse climate change. Is it that climate change causes global warming ?
0,0,0,neu,10,0,0,1,o,-1.0,"At the Toronto G20 summit, some cop randomly started wailing on some poor guy walking by and eight cops caught watching on video could not recall the incident or identify the cop. This is the world we live in, anyone can just have bad luck and get randomly attacked by a cop and if there isn't video, they will get away with it.","The scariest part is that it seems like even if there is video, they still get away with it or let off easy half the time.","Sometimes video and police reports contradict each other, so both forms of evidence end up getting tossed. Absurd.",Theres always a risk the officer will turn the attention.,Theres always a not risk the officer will turn the attention. Lawrence island with no loss of life.,Theres always a risk the officer will turn the attention. Is there more than one way to skin a cat ; it is cliche ?
0,0,0,neu,10,0,0,1,o,-1.0,it's not ineffective at all . Cynicism gets us nowhere .,Not effective ? The GOP just gained more governmental power than they've had in almost 90 yrs . & they'r picking the new sc justice,the only thing we have to #fear is fear itself .,You just don't know how the Democratic Party operates.,You just do know how the democratic party operates. They distanced themselves from the upper class and adopted a communist political ideology.,You just don't know how the Democratic Party operates. Does the democratic party is a United States political party ?
1,1,0,pos,13,0,0,2,o,-1.0,This idiot was trying to make a racist announcement and this guy kept yelling :speaking_head: NOOOOO in his face lmao <URL>,So what happened to free speech ! ! ! Brilliant comrades,"Hiel Chris , I see two people exercising their right to free speech . Who's right would you revoke ? Sieg Heil stupid fascist .",Don't know how you even can think that's a good thing.,Do know how you even can think that's a good thing. I am radiating joy and happiness.,Don't know how you even can think that's a good thing. Do you lose faith in understanding something bad ?
0,0,0,neg,9,0,0,2,o,-1.0,The Wire: Coast Guard Narrowly Avoids Sparking World War III,I had to post this.. The level of stupidity is priceless.,I think I need to elaborate.. the article is stupid.,"I don't think anyone was stupid, just misguided.","I do think anyone was stupid, just misguided. Smile like you have never been hurt.","I don't think anyone was stupid, just misguided. Can anyone certainty dogma ? ?"
1,1,0,neu,5,0,0,2,o,-1.0,and i'm white :),I'm surprised he got away with that.,"Yeah, since when are jews considered ""white?""","It was a joke, bro.","It was a joke, bro. Gary simply sat with an admiring and respectful look on his face.","It was a joke, bro. Do you laugh because you are distraught ?"
1,1,0,neu,10,0,0,2,o,-1.0,Aaannnd this is why I conceal carry.,And this is why I Canada,It is impossible to get robbed in Canada amirite?,And this is why I don't own a firearm.,And this is why i do own a firearm. There is no medicine against death.,And this is why I don't own a firearm. Is a firearm a harmless weapon ?
1,0,0,neg,7,0,0,2,o,-1.0,But it's not a tragedy,"exactly, in most instances the bull is then slaughtered and given freely to the poor.",We don't do that in America because our parents teach us not to pay with our food.,You have a weird definition of most.,You have a not weird definition of most. The story ends on a note of macabre paradox.,You have a weird definition of most. Does another definition for babies is young humans ?
0,0,0,neu,8,0,1,1,o,-1.0,Stop finding excuses and justification for a failed administration ! Do the Job you sworn under oath to protect and defend the constitution ! <URL>,"Pres Trump is doing the opposite of BHO appeasements and BHO aid to terrorists . Therefore , unlike the man you supported , President Trump IS fulfilling his oath to protect and defend not only the Constitution but the people of the United States #NoMoreWars #NoBenghazi","Totally the opposite ! Actually , people that knows recognizes his telegraphs from the past . A loser doesn't became a overnight ! <URL>","So Trump is an actuary, not a lawyer?","So trump is an actuary, a lawyer? I don't feel at all nervous.","So Trump is an actuary, not a lawyer? Is a lawyer called an attorney or barrister ?"
0,0,0,neu,8,0,0,1,o,-1.0,Gina Rinehart: World's richest woman calls for Australian workers to be paid $2 a day,What in the actual fuck She thinks its possible to live on a McD burger a day homeless?,"She doesn't see these people as humans, she sees them as wage costs.","If you want to have a job, sure.","If you don't want to have a job, sure. I can't lump the symptoms together and blame them all on stress.","If you want to have a job, sure. Is getting a job used to having something to do ?"
1,1,0,neu,24,0,0,1,o,-1.0,"Please consider that if you ’ re upset about my essay , you could perhaps try to make a morally irrefutable case for your candidate instead of trolling Raghav ’ s loved ones . We are human beings and I don ’ t think this makes you or the candidate you support look as good as you think",Sorry Kate but talking about how various candidates policies might kill or not kill human beings is manipulative and against the rules of debate,What ? Politics are personal ? No way ! <URL>,I did not vote for this candidate and I am not a supporter of this candidate so I would not vote for her either,I did vote for this candidate and i am a supporter of this candidate so i would vote for her either Republican voters were not anti-foreigner because their neighbours were arabs.,I did not vote for this candidate and I am not a supporter of this candidate so I would not vote for her either. Is it that being eligible to vote means you are n't allowed to vote ?
0,0,0,neg,7,0,0,1,o,-1.0,"Sohrab Ahmari , New York Post “ The Trump Campaign raised $ 10 million in the two days following the impeachment ( Scam ) vote . It seems the Democrats have shot themselves in the foot in one more way . They set up a process they know is not going to lead to the Presidents removal , & ...","... it ’ s alienating independents . This President is being persecuted over three years with one investigation after another , and that really plays to his base . ” Their partisan Witch Hunt is hurting our Country do badly , & only bringing more division than ever !",He ’ s done it again ! Pres . Trump outfoxes the Dems !,I didn't vote for this president,I did vote for this president Happy about no one can only hold the force.,I didn't vote for this president. Can citizens vote for leaders who are cowards ?
1,1,0,neu,15,1,0,2,o,-1.0,"During SDCC they said that it might come, but if it will, it'll be sometime in the future.",As opposed to sometime in the past?,What if it's already in the game... ...but it's locked behind an ARG?,I don't know why you were downvoted for not making that much sense.. lol.,I do know why you were downvoted for making that much sense.. lol. I managed to convince the jury of my loss of innocence.,I don't know why you were downvoted for not making that much sense.. lol. Do smoke is used with a false sense of unpopularity ?
0,0,0,neu,5,0,0,0,o,-1.0,"Seth Rogen, Evan Goldberg sell Sony a raunchy animated film 'Sausage Party'",This has box office flop written all over it.,"eh, I think it has a good chance",That's some solid marketing.,That's some solid marketing. Who's never got any money.,That's some solid marketing. Do some liquid have been purchased ?
0,0,0,neu,9,0,0,0,o,-1.0,I just deleted the eagles album from my phone .,I have to go through my vinyl collection . I know many albums will wind up in the garbage . I think I'm ready to say good bye .,not all of us are Evil some of us are against it BUT we are shut off even when we are signed for the Universe I am One of those who refused to shut up - - Q,Just make sure the tape is in mint condition.,Just make sure the tape is in mint condition. Let's drink to good health.,Just make sure the tape is in mint condition. Do tape dispensers are used to make tape difficult to use ?
1,0,0,neu,11,0,0,2,o,-1.0,Always wondered what happened to that troll . “ How World Soccer Daily went up in smoke ” by Howler <URL>,"it was beautiful , especially when he kept doubling down",You could argue he saved LFC . Many of the people who came together to oust him were the same who forced Gillette & Hicks out,And his reply to him was really well written as well.,And his reply to him was really well written as well. Such conduct is unworthy of praise.,And his reply to him was really well written as well. Do flames are an objectionable reply to a message ?
1,0,0,neu,18,0,0,2,o,-1.0,"What if the team was nammed the ""Washington Negroes""","Well to see negro as offensive is now commonly accepted, but at some point you can't just have every group of people make up a list of words they don't like to hear.","Why don't they rename the team the ""Washington Crackers"", white people are apparently 'thicker skinned' so there'll be no further issues.",You can't just have everyone make up a list of words they don't like to hear.,You can't just have everyone make up a list of words they do like to hear. 'what fun!' she said with a laugh.,You can't just have everyone make up a list of words they don't like to hear. Is it that question that everyone determines the lie ?
0,0,0,neu,19,0,0,2,o,-1.0,Fox and friends anchors wide-eyed as fellow anchor talks about how races should not be interbreeding,"That was so out of no where. Those two other anchors were just making banter about some fluff piece and this guy had to suddenly shift to ""people shouldn't marry outside their ethnic group"".",Then the other two tried to save the train wreck but ended up just dumbfounded,I've never seen a better example of what an anchor does at the bottom of the news cycle,I've seen a better example of what an anchor does at the bottom of the news cycle Large lymphocyte and eof had no evidently increase.,I've never seen a better example of what an anchor does at the bottom of the news cycle. Is it that depreciating a visit to a hot spring an example of informal learning ?
1,0,0,neu,18,0,0,2,o,-1.0,never forget that the largest protest in American history followed your inauguration . Oh yeah pe … <URL>,"women dressed up as Vaginas . Yeah , everyone took them seriously .","not to mention , a man hit a woman at a march , and the protesters said SHE deserved it !",When the article mentions the protests against Trump it's not like they did not recognize the protests.,When the article mentions the protests against trump it's like they did recognize the protests. Never uttered a word of protest.,When the article mentions the protests against Trump it's not like they did not recognize the protests. Is it that joining protests to make the world worse ?
1,0,0,neu,11,0,0,0,o,-1.0,At least it's not expensive to live in London :see-no-evil_monkey:,that's a massive tick in the box for the job also eh ? ? ... ha ha,"Slavery - "" a condition of having to work very hard without proper remuneration or appreciation . """,It's funny because I don't even have a job.,It's funny because i do even have a job. It was scarcely an occasion for laughter.,It's funny because I don't even have a job. Is it to express how even something is used to make observations about life ?
1,0,0,neu,10,0,1,2,o,-1.0,This ... Was sarcasm . Probably should have used some quotation marks I guess .,"I believe mimicking / mocking outrage twitter , but very poorly executed .",Advice if you want to be sarcastic hashtag because you sounded like a complete dunce .,So you believe the entire thing wasn't a joke?,So you don't believe the entire thing wasn't a joke? It was scarcely an occasion for laughter.,So you believe the entire thing wasn't a joke? Do beliefs in anything are called freedom of thought ?
0,1,1,neg,16,0,0,2,o,-1.0,I bet porn sucked in the 90's,The story in porn Is marginal at best,"I agree it's always so aggressive and forced, like you just met the cable man like shouldn't you ask his name?","I am very interested in the story, but it would be difficult to find a source.","I am very interested in the story, but it would not be difficult to find a source. My face was void of all interest.","I am very interested in the story, but it would be difficult to find a source. Is telling a story used to make yourself sound trivial ?"
1,1,0,neu,15,0,0,1,o,-1.0,"Please tell me that you've seen mine and poll , we've had an argument about this for over a year and we've actually got polls on this right now , it's legit , split down the middle <URL>","It should be praised by God's , oh wait , GODS MADE THIS BRILLIANT IDEA ! ! !",So you hate your own creation ? You really thought through that one well,I'm pretty sure God wouldn't have the money to pay for a poll.,I'm pretty sure god wouldn't have the money to default for a poll. Happy am I who owes nothing,I'm pretty sure God wouldn't have the money to pay for a poll. Can atheists agree that god does exist ?
1,0,0,neg,8,1,0,1,o,-1.0,Let me repeat . Slowly . I followed up on it . I always allow new information to change my opinion . That's what tolerant people do .,I was reacting to your initial tweet . The fact that your opinion changed doesn't validate it in any way .,"Yep and you've demonstrated your ignorance by prejudging someone about whom you know nothing , which was my point ! !",I see your point. Sorry for the confusion.,I see your point. sorry for the confusion. Shouting abuse at my stupidity.,I see your point. Sorry for the confusion. do debate politics is used to see other points of view ?
1,0,0,neu,10,0,0,2,o,-1.0,"It's weird that people still equate socialism with communism, as if they are the same.",Socialism is communism without the guns pointed at the citizen.,"Ah, yes, people hand over half their money to the State out of the goodness of their hearts and not because of force.",Socialism doesn't have the same status quo as socialism.,Socialism does have the same status quo as socialism. They finally managed to throw off the shackles of communism.,Socialism doesn't have the same status quo as socialism. Does a large house with an immaculate lawn be considered a status symbol ?
1,1,0,neu,29,0,0,2,o,-1.0,"The left is a bunch of unprincipled, greedy, worthless.","The complainers were probably watching television, partying with friends, and sleeping in while Bezos was creating a business that literally changed how we buy products and consume content.",I guess that means he can evade tax with impunity? good to see your laws are universally applied ,I think it has to do with the fact that they got bought out by a group of people who had been known for many years to be unethical.,"I think it has to do with the fact that they got bought out by a group of people who had been known for many years to be ethical. Who have often disdained the generous candour of my sister, and gratified my vanity, in useless or blameable distrust.",I think it has to do with the fact that they got bought out by a group of people who had been known for many years to be unethical. Do seeing artifacts make people depreciate men ?
0,1,1,neu,10,1,0,2,o,-1.0,I think this should be shared (from the comments section on ESPN.COM),I think Niner and Seahawk fans can agree that we shouldn't be taking advice from a guy wearing a fedora.,Anyone else see the irony of a Niners fan calling someone out for their appearance?,I know. We all should be a little more humble.,I know. we all should not be a little more humble. Exalt him as much as you can: for he is above all praise.,I know. We all should be a little more humble. Is it that knowing what is wrong with you will worsen you ?
1,1,0,neg,8,1,0,1,o,-1.0,Looks like ol ' Rusty's account may be locked . Wonder how that happened ? ;-) >,Looks fine to me . Pain fails again . Poor little guy .,Pasty white guy wants to know if I'm racist ?,Poor little Rusty. He's a fine dog.,Rich little rusty. he's a fine dog. Dirty money will not bring good luck.,Poor little Rusty. He's a fine dog. Is the bagel round and crusty outside ?
1,0,0,neu,3,0,0,0,o,-1.0,That sad moment when you realise has more twitter followers than you :disappointed_face: :disappointed_face: :disappointed_face:,I don't know if this is a compliment or not ! :see-no-evil_monkey: :face_with_tears_of_joy:,it means you are mr popular of the twitter world #makesmesad,Is a compliment.,Is a compliment. Good - tempered and forbearing.,Is a compliment. Is a compliment better than flattery ?
1,0,0,neu,12,1,0,2,o,-1.0,"Pray tell, what's the second?",That they simply have a 95 lb problem on their hands. 95 lbs they have to move from point A to point B,Shouldn't be too hard. Fold it up and putit in your wallet! ,"Ah, I see. That's odd, but that makes sense to me.","Ah, i see. that's even, but that makes sense to me. Stared at them both in utter confusion.","Ah, I see. That's odd, but that makes sense to me. Do people want to see Taj Mahal ?"
0,0,0,neu,6,0,0,0,o,-1.0,"I thought the exact same thing! Even before I knew who he is. I think its the teeth, he looks like Brian from Family Guy when he gets new teeth & becomes a real estate agent.",I think he looks like Louis Litt from Suits Edit-[for all those who need to search for Litt ](<URL> [looks like his brother lol](<URL>,"After a quick google, I couldn't agree more!",Yeah it's a good show.,Yeah it's a good show. The theater closed down for good.,Yeah it's a good show. Is the news show not biased ?
1,0,0,neg,21,0,0,2,o,-1.0,Actually I agree w showing respect to those w whom you disagree . I'm making an argument not name-calling .,The man is going to be president . He will be held to account and criticized for wrongdoing . That's the job .,"I guess we need to show the same respect as is shown to "" King Obama . """,I mean if you want to name the thing and his crimes then you should've done it before the election.,"I don't mean if you want to name the thing and his crimes then you should've done it before the election. I believe in cumberland,(http://sentencedict.com/arrest.html) and the murderer was shot dead whilst resisting arrest.",I mean if you want to name the thing and his crimes then you should've done it before the election. do divest murder is used to keep someone from talking about something you did ?
